Español,Pronunciación,Árabe
Orejas,udhun,أُذن
Hola,marhaba,مرحبا
Ratón,fa-r,فأر
Ahmed,Ahmed,أحْمد
Mi hermana,Uhktii,أُخْتي
Mi papá,abi,أبي
Esperanza,amal,أمَل
Pregunta,bisal,بسأل
¿Cómo estás?,Keifa hallaki,كيف حالكِ؟
"Bien, ¿y tú?","bihair, ua anti?",بخير، وأنتِ؟
Puerta,ba’ab,بأب
Casa,baita,بيْت
Trompeta,buqa,بوق
Cuerda,habl,حَبل
Sandía,bataha,بطّتخ
bote,qarib,قارِب
Montaña,jabal,جَبل
Uvas,einab,عنبْ
Libros,kitab,كِتبْ
Madre,uma,أُمَ
Oso,dub,دُب
Mar,bahar,بحر
Nubes,sahab,سحاب
Conejo,arnab,أرْنب
Claro,biltakid,بالتأكيد
Pan,khubz,خُبز
Luna llena,badr,بدْر
Perro,kalb,كلْب
Pato,bata,بطة
Manzana,tufaha(tan),تُفٌاحة
Televisión,tilfadz,تلْفاذ
Mora azul,tuut,توت
Corona,taj,تاج
Cama (🇵🇸),tajt,تحْت
Cama,sarir,سرير
Palestina,falastin,فلسطين
Mohamad,Mohamad,محمد
Tamir,Tamir,تامِر
Llave,miftah,مِفْتاح
Teléfono,hatif,هاتِف
Teléfono,tilifon,تِلِفون
Alumno,tilmidh,تِلْمِذ
Ok,tayib,طيب
Cerro,tal,تل
Cocodrilo,timsah,تِمساح
Anillo,hatim,خاتِم
Higo,fig,تين
Gata,qita,قِطَّة
Gato,qit,قِط
Nieve,thalj,ثلْج
Toro,thaur,ثوُر
Ajo,thu-um,ثوم
Tres,thalatha,ثلاثة
Frutas (no maduras),thimar,ثِمار
Rana,difda,ضِفْدع
Refrigerador,talaya,تلاّجة
Serpiente,theban,ثعبان
Zanahoria,yudzur,جَزَر
Puente,yusr,جِسْر
Campana,yaras,جَرَس
Muro,yidar,جِدار
Queso,yuban,جبن
Grillo,yadar,جَدارة
Ejercicio,tamrin,تَمرِن
¿Quién?,man,مَن؟
Doctor,tabib,طَبِبْ
Doctor,daktor,دكتور
Niño,ualad,ولَدْ
Estudiante,talib,طَالِب
Hombre,rayul,رجل
Comerciante,tayir,تَاجر
Camello,yamal,جمل
Burro,hemaar,حِمَار
Caballo,hessan,حَصَان
Maestro,mudarras,مُدَرّس
León,assad,أسد
Fire,naar,بار
Cabeza,raas,رأس
(yo) trabajo,aemalu,أعملُ
Empresa,sharika,شرِكة
Financiera,maali,مالي
Ok,tamam,تمام
Serpiente,afaa,أفعى
Príncipe,amir,أمير
Música,musiqa,موسيقى
Lina (Nombre),lina,لينا
México,al-maksik,المكسيك
Siria,surya,سوريا
Líbano,lubnaan,لُبْنَان
Libia,libia,ليبيا
Yo,ana,أنا
En,fi,في
¿De dónde eres?,men aina anta?,مِن أْينَ أنتَ؟
Qué,madha,ماذا
¿A qué te dedicas?,madha tafaer,ماذا تفعر؟
Bienvenido,ahlan uasahlan,اهلاً وسهلاً
¿Cómo estuvo tu día?,kaif kan yaumak?,كيف كان يوْمك؟
Fue un buen día,kan iauma yaida,كان يوما جيدا
Tu nacionalidad (H),yinsituk,جِنسيتك
Tu nacionalidad (M),yinsituki,جِنسيتكِ
Cuídate,iatani binafsik,إعتني بنفسك
"No, suficiente",la laysa hunak,
